player_id,player_code,name,date_of_birth,age,height,citizenship,position,foot,current_market_value,intl_caps,intl_goals,source_league,season_id,competition_code
245625,alex-palmer,Alex Palmer,10/08/1996,29.0,"1,91 m",England,Goalkeeper,right,1000000.0,4.0,0.0,2024-premier-league,2024,premier-league
790992,alfie-gilchrist,Alfie Gilchrist,28/11/2003,22.0,"1,83 m",England,Defender - Right-Back,right,4000000.0,,,2024-premier-league,2024,premier-league
503988,alex-mighten,Alex Mighten,11/04/2002,24.0,"1,71 m",England,Attack - Left Winger,right,700000.0,1.0,0.0,2024-premier-league,2024,premier-league
811778,alvaro-carreras,Álvaro Carreras,23/03/2003,23.0,"1,86 m",Spain,Defender - Left-Back,left,60000000.0,9.0,0.0,2024-premier-league,2024,premier-league
878150,amario-cozier-duberry,Amario Cozier-Duberry,29/05/2005,20.0,"1,70 m",England,Attack - Right Winger,left,5000000.0,3.0,0.0,2024-premier-league,2024,premier-league
610581,ali-al-hamadi,Ali Al-Hamadi,01/03/2002,24.0,"1,87 m",Iraq,Attack - Centre-Forward,right,1500000.0,17.0,5.0,2024-premier-league,2024,premier-league
485706,amadou-onana,Amadou Onana,16/08/2001,24.0,"1,95 m",Belgium,Midfield - Defensive Midfield,right,45000000.0,27.0,1.0,2024-premier-league,2024,premier-league
221025,andre-gomes,André Gomes,30/07/1993,32.0,"1,90 m",Portugal,Midfield - Central Midfield,right,3500000.0,29.0,0.0,2024-premier-league,2024,premier-league
430310,andrew-irving,Andrew Irving,13/05/2000,26.0,"1,90 m",Scotland,Midfield - Central Midfield,left,5000000.0,1.0,0.0,2024-premier-league,2024,premier-league
800176,andre,André,16/07/2001,24.0,"1,76 m",Brazil,Midfield - Defensive Midfield,right,25000000.0,13.0,0.0,2024-premier-league,2024,premier-league
